generation,index,cost,preference,penalty,rank,crowdingDistance,feasible,route
19,2,423.0,576.0,0.0,1,0.0,true,"City16(Day 0) -> City14(Day 1) -> City18(Day 4)"
19,3,484.0,625.0,0.0,1,0.0,true,"City4(Day 2) -> City22(Day 3) -> City18(Day 4)"
19,4,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
19,5,234.0,169.0,0.0,1,0.0,true,"City16(Day 0) -> City24(Day 3)"
19,6,346.0,441.0,0.0,1,0.0,true,"City16(Day 1) -> City24(Day 3) -> City18(Day 4)"
19,7,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
19,8,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
19,9,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
19,10,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
19,11,341.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City16(Day 3) -> City18(Day 4)"
19,12,543.0,676.0,0.0,1,0.0,true,"City14(Day 1) -> City4(Day 4) -> City18(Day 5)"
20,1,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
20,2,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
20,3,423.0,576.0,0.0,1,0.0,true,"City16(Day 0) -> City14(Day 1) -> City18(Day 4)"
20,4,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
20,5,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
20,6,346.0,441.0,0.0,1,0.0,true,"City16(Day 1) -> City24(Day 3) -> City18(Day 4)"
20,7,341.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City16(Day 3) -> City18(Day 4)"
20,8,234.0,169.0,0.0,1,0.0,true,"City16(Day 0) -> City24(Day 3)"
20,9,484.0,625.0,0.0,1,0.0,true,"City4(Day 2) -> City22(Day 3) -> City18(Day 4)"
20,10,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
20,11,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
20,12,543.0,676.0,0.0,1,0.0,true,"City14(Day 1) -> City4(Day 4) -> City18(Day 5)"
21,1,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
21,2,484.0,625.0,0.0,1,0.0,true,"City4(Day 2) -> City22(Day 3) -> City18(Day 4)"
21,3,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
21,4,346.0,441.0,0.0,1,0.0,true,"City16(Day 1) -> City24(Day 3) -> City18(Day 4)"
21,5,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
21,6,234.0,169.0,0.0,1,0.0,true,"City16(Day 0) -> City24(Day 3)"
21,7,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
21,8,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
21,9,341.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City16(Day 3) -> City18(Day 4)"
21,10,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
21,11,532.0,676.0,0.0,1,0.0,true,"City4(Day 2) -> City14(Day 3) -> City18(Day 4)"
21,12,423.0,576.0,0.0,1,0.0,true,"City16(Day 0) -> City14(Day 1) -> City18(Day 4)"
22,1,532.0,676.0,0.0,1,0.0,true,"City4(Day 2) -> City14(Day 3) -> City18(Day 4)"
22,2,484.0,625.0,0.0,1,0.0,true,"City4(Day 2) -> City22(Day 3) -> City18(Day 4)"
22,3,234.0,169.0,0.0,1,0.0,true,"City16(Day 0) -> City24(Day 3)"
22,4,346.0,441.0,0.0,1,0.0,true,"City16(Day 1) -> City24(Day 3) -> City18(Day 4)"
22,5,341.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City16(Day 3) -> City18(Day 4)"
22,6,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
22,7,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
22,8,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
22,9,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
22,10,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
22,11,423.0,576.0,0.0,1,0.0,true,"City16(Day 0) -> City14(Day 1) -> City18(Day 4)"
22,12,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
23,1,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
23,2,484.0,625.0,0.0,1,0.0,true,"City4(Day 2) -> City22(Day 3) -> City18(Day 4)"
23,3,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
23,4,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
23,5,234.0,169.0,0.0,1,0.0,true,"City16(Day 0) -> City24(Day 3)"
23,6,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
23,7,423.0,576.0,0.0,1,0.0,true,"City16(Day 0) -> City14(Day 1) -> City18(Day 4)"
23,8,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
23,9,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
23,10,341.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City16(Day 3) -> City18(Day 4)"
23,11,346.0,441.0,0.0,1,0.0,true,"City16(Day 1) -> City24(Day 3) -> City18(Day 4)"
23,12,532.0,676.0,0.0,1,0.0,true,"City4(Day 2) -> City14(Day 3) -> City18(Day 4)"
24,1,423.0,576.0,0.0,1,0.0,true,"City16(Day 0) -> City14(Day 1) -> City18(Day 4)"
24,2,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
24,3,234.0,169.0,0.0,1,0.0,true,"City16(Day 0) -> City24(Day 3)"
24,4,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
24,5,346.0,441.0,0.0,1,0.0,true,"City16(Day 1) -> City24(Day 3) -> City18(Day 4)"
24,6,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
24,7,484.0,625.0,0.0,1,0.0,true,"City4(Day 2) -> City22(Day 3) -> City18(Day 4)"
24,8,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
24,9,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
24,10,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
24,11,341.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City16(Day 3) -> City18(Day 4)"
24,12,532.0,676.0,0.0,1,0.0,true,"City4(Day 2) -> City14(Day 3) -> City18(Day 4)"
25,1,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
25,2,341.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City16(Day 3) -> City18(Day 4)"
25,3,484.0,625.0,0.0,1,0.0,true,"City4(Day 2) -> City22(Day 3) -> City18(Day 4)"
25,4,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
25,5,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
25,6,234.0,169.0,0.0,1,0.0,true,"City16(Day 0) -> City24(Day 3)"
25,7,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
25,8,423.0,576.0,0.0,1,0.0,true,"City16(Day 0) -> City14(Day 1) -> City18(Day 4)"
25,9,532.0,676.0,0.0,1,0.0,true,"City4(Day 2) -> City14(Day 3) -> City18(Day 4)"
25,10,346.0,441.0,0.0,1,0.0,true,"City16(Day 1) -> City24(Day 3) -> City18(Day 4)"
25,11,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
25,12,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
26,1,341.0,361.0,0.0,1,0.0,true,"City19(Day 0) -> City16(Day 3) -> City18(Day 4)"
26,2,154.0,49.0,0.0,1,0.0,true,"City16(Day 6)"
26,3,136.0,16.0,0.0,1,0.0,true,"City19(Day 3)"
26,4,165.0,64.0,0.0,1,0.0,true,"City18(Day 4)"
26,5,384.0,529.0,0.0,1,0.0,true,"City16(Day 0) -> City18(Day 4) -> City22(Day 5)"
26,6,484.0,625.0,0.0,1,0.0,true,"City4(Day 2) -> City22(Day 3) -> City18(Day 4)"
26,7,234.0,169.0,0.0,1,0.0,true,"City16(Day 0) -> City24(Day 3)"
26,8,423.0,576.0,0.0,1,0.0,true,"City16(Day 0) -> City14(Day 1) -> City18(Day 4)"
26,9,237.0,225.0,0.0,1,0.0,true,"City16(Day 1) -> City18(Day 4)"
26,10,532.0,676.0,0.0,1,0.0,true,"City4(Day 2) -> City14(Day 3) -> City18(Day 4)"
26,11,309.0,256.0,0.0,1,0.0,true,"City22(Day 3) -> City18(Day 4)"
